City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
conway,75,US,1521440100,100,35.09,-92.44,50.0,4.7
tete,80,MZ,1521441344,94,-16.16,33.59,73.24,4.16
kendari,20,ID,1521441345,84,-3.99,122.52,83.59,4.83
stephenville,1,US,1521440100,93,32.22,-98.2,66.2,13.11
teya,5,MX,1521438480,65,21.05,-89.07,80.6,17.22
sundargarh,0,IN,1521441346,33,22.12,84.04,89.71,6.17
launceston,75,AU,1521441000,48,-41.43,147.14,64.4,23.04
havre-saint-pierre,75,CA,1521440400,73,50.23,-63.6,23.0,13.87
balkhash,88,KZ,1521441347,98,46.84,74.98,35.08,4.5
svetlaya,68,RU,1521441348,100,46.54,138.33,28.06,18.37
yarim,0,YE,1521441348,50,14.3,44.38,64.33,2.93
kodinsk,0,RU,1521441349,63,58.6,99.18,39.85,4.38
ayagoz,88,KZ,1521441349,88,47.96,80.43,38.41,3.71
huarmey,8,PE,1521441350,92,-10.07,-78.15,61.9,1.81
parrita,0,CR,1521439200,68,9.52,-84.33,71.6,13.87
ca mau,36,VN,1521441350,67,9.18,105.15,89.62,9.42
dafeng,64,CN,1521441351,82,33.2,120.46,48.94,16.91
henties bay,20,NA,1521441351,99,-22.12,14.28,62.71,4.16
jingdezhen,80,CN,1521441352,83,29.29,117.2,59.02,10.2
knysna,75,ZA,1521439200,93,-34.04,23.05,64.4,6.93
teknaf,0,BD,1521441353,33,20.86,92.31,91.6,5.39
kaka,76,TM,1521441354,100,37.35,59.62,47.41,3.38
madhubani,0,IN,1521441354,26,26.36,86.07,90.52,5.95
cockburn town,100,TC,1521441355,100,21.46,-71.14,73.42,6.4
orocue,48,CO,1521441356,52,4.79,-71.34,81.79,4.61
ambanja,75,MG,1521439200,100,-13.68,48.45,80.6,2.24
birao,0,CF,1521441357,22,10.3,22.78,72.34,7.74
mikhaylovka,0,RU,1521441358,68,52.96,103.29,40.12,8.08
pomabamba,80,PE,1521441358,88,-8.82,-77.46,43.0,1.92
juneau,90,US,1521438960,100,58.3,-134.42,35.6,3.36
khuzhir,0,RU,1521441359,75,53.19,107.35,30.94,3.94
rovaniemi,0,FI,1521438600,78,66.5,25.72,15.8,11.41
nuuk,8,GL,1521438600,69,64.17,-51.74,33.8,10.29
wanning,75,AT,1521438600,67,48.64,13.53,21.2,9.17
beyneu,0,KZ,1521441361,65,45.32,55.19,50.74,4.72
tostedt,0,DE,1521438600,62,53.28,9.71,24.8,8.05
angoram,12,PG,1521441362,85,-4.06,144.07,86.11,3.6
legnica,20,PL,1521439200,61,51.21,16.17,17.6,6.93
nabire,36,ID,1521441363,72,-3.36,135.5,82.06,0.25
weligama,8,LK,1521441363,86,5.97,80.42,85.39,7.96
grindavik,75,IS,1521439200,93,63.84,-22.43,41.0,10.29
mawlaik,0,MM,1521441364,48,23.63,94.42,82.24,2.71
lensk,92,RU,1521441364,78,60.71,114.91,23.38,9.53
soanierana ivongo,0,MG,1521441365,86,-16.92,49.59,83.77,7.18
batemans bay,0,AU,1521441365,51,-35.71,150.18,79.45,2.59
limaong,75,PH,1521439200,66,7.36,122.37,89.6,4.7
mount isa,0,AU,1521439200,19,-20.73,139.49,98.6,12.75
poum,76,MK,1521441366,85,41.28,20.71,39.4,2.15
tchollire,8,CM,1521441367,64,8.4,14.17,70.27,2.59
puerto madero,0,AR,1521439200,67,-34.61,-58.36,60.8,5.82
belmonte,92,PT,1521441368,93,40.36,-7.35,37.24,2.93
phalaborwa,0,ZA,1521441368,82,-23.95,31.14,70.0,4.83
martapura,20,ID,1521441369,79,-3.41,114.85,86.02,6.96
vostok,64,RU,1521441370,56,46.45,135.83,15.37,7.85
pitimbu,20,BR,1521435600,88,-7.47,-34.81,73.4,6.51
beidao,24,CN,1521441370,77,34.57,105.89,51.46,3.94
galveston,1,US,1521438960,78,40.58,-86.19,37.4,5.82
la ciotat,0,FR,1521439200,96,43.17,5.6,46.4,21.92
gimli,48,CA,1521441372,86,50.63,-96.99,20.32,9.98
villarrobledo,56,ES,1521441373,97,39.27,-2.6,35.44,14.79
tsiroanomandidy,56,MG,1521441373,99,-18.77,46.05,70.99,4.16
yar-sale,44,RU,1521441374,79,66.83,70.83,-4.43,5.39
saldanha,92,PT,1521441214,97,41.42,-6.55,38.59,8.08
tezu,0,IN,1521441374,56,27.93,96.16,64.96,1.14
macusani,56,PE,1521441375,97,-14.07,-70.43,46.6,0.47
tumut,0,AU,1521441375,46,-35.3,148.22,68.56,4.94
barra do garcas,8,BR,1521441376,93,-15.89,-52.26,71.17,3.15
lufilufi,75,WS,1521435600,74,-13.87,-171.6,82.4,2.24
katsuura,75,JP,1521440340,100,33.93,134.5,53.6,4.7
pacific grove,1,US,1521438900,81,36.62,-121.92,48.2,3.36
agadir,0,MA,1521439200,87,30.42,-9.58,50.0,3.36
kibala,0,TD,1521439200,69,9.11,18.35,78.8,11.41
mitsamiouli,20,KM,1521439200,74,-11.38,43.28,86.0,2.24
la orilla,64,MX,1521441380,100,18.0,-102.23,68.47,1.25
shellbrook,90,CA,1521439200,78,53.22,-106.39,15.8,2.24
christchurch,64,NZ,1521439200,77,-43.53,172.64,64.4,10.29
longonjo,100,AO,1521441381,98,-12.91,15.25,61.99,3.49
mulanje,100,MW,1521441382,97,-16.03,35.5,69.55,2.71
roura,90,GF,1521441000,94,4.73,-52.33,77.0,5.82
rapid valley,90,US,1521440100,92,44.06,-103.15,28.4,21.92
ternate,20,PH,1521439200,49,14.29,120.72,91.4,13.87
braganca,80,BR,1521441384,89,-1.05,-46.77,77.38,3.38
ulaanbaatar,20,MN,1521441000,26,47.92,106.92,48.2,4.47
komsomolskiy,20,RU,1521441384,74,67.55,63.78,-11.81,7.74
toktogul,36,KG,1521441385,58,41.87,72.95,44.26,2.37
mana,75,RS,1521439200,80,43.52,20.24,39.2,10.29
santiago,0,CL,1521439200,62,-33.44,-70.65,59.0,2.24
alofi,92,NU,1521439200,83,-19.06,-169.92,80.6,2.24
grootfontein,92,NA,1521441388,98,-19.56,18.1,65.86,7.07
skibotn,40,NO,1521438600,74,69.39,20.27,28.4,14.99
goderich,0,CA,1521441389,78,43.74,-81.71,19.78,9.98
mayo,90,CA,1521439200,69,63.59,-135.9,33.8,3.36
khandyga,20,RU,1521441390,49,62.65,135.58,-2.9,3.6
pangnirtung,92,CA,1521441390,79,66.15,-65.72,6.64,3.15
lubango,76,AO,1521441391,98,-14.92,13.49,65.5,2.15
manacapuru,0,BR,1521441391,94,-3.3,-60.62,76.48,5.17
maningrida,76,AU,1521441391,100,-12.05,134.23,81.16,9.64
killybegs,44,IE,1521441392,100,54.63,-8.45,34.0,12.77
gari,8,RU,1521441393,50,59.43,62.35,8.53,12.44
san jose,0,PH,1521441395,52,15.79,120.99,88.54,3.04
hasaki,75,JP,1521439200,55,35.73,140.83,64.4,13.87
hervey bay,48,AU,1521441253,94,-25.3,152.85,79.0,9.75
harper,1,US,1521440100,81,30.3,-99.24,57.2,9.42
porto walter,8,BR,1521441229,96,-8.27,-72.74,74.5,1.14
vanavara,8,RU,1521441397,73,60.35,102.28,35.98,6.85
sinnamary,92,GF,1521441397,100,5.38,-52.96,77.47,9.64
sampit,8,ID,1521441398,70,-2.54,112.95,91.6,3.94
trelew,0,AR,1521441399,36,-43.25,-65.31,60.73,16.46
lavrentiya,88,RU,1521441399,91,65.58,-170.99,25.27,9.64
bandarbeyla,8,SO,1521441400,100,9.49,50.81,78.73,10.31
viedma,0,AR,1521441401,53,-40.81,-62.99,51.46,10.54
porto novo,0,BR,1521439200,94,-23.68,-45.44,69.8,2.24
magistralnyy,0,RU,1521441402,62,56.17,107.45,35.44,4.94
fuling,92,CN,1521441402,100,29.71,107.39,54.34,3.6
northam,24,GB,1521438600,68,51.04,-4.21,30.2,20.8
miri,0,NG,1521441403,57,10.31,9.75,61.54,2.93
anaconda,90,US,1521438780,79,46.13,-112.94,28.4,2.15
cascas,76,PE,1521441404,91,-7.48,-78.82,48.67,1.36
nakusp,88,CA,1521441405,89,50.24,-117.8,28.96,0.47
matay,0,EG,1521441405,34,28.42,30.79,68.47,9.19
palmer,75,AU,1521439200,64,-34.85,139.16,69.8,13.87
gympie,20,AU,1521441406,79,-26.2,152.66,78.19,4.94
batangafo,12,CF,1521441407,82,7.3,18.29,74.05,11.77
snina,90,SK,1521439200,92,48.99,22.16,24.8,4.47
isangel,0,VU,1521441261,100,-19.55,169.27,79.72,12.55
derzhavinsk,92,KZ,1521441228,100,51.1,66.31,36.34,21.72
nouakchott,12,MR,1521441408,84,18.08,-15.98,68.29,16.69
beberibe,40,BR,1521439200,83,-4.18,-38.13,80.6,4.7
hun,75,BE,1521438900,63,50.34,4.87,28.4,11.41
kirakira,92,SB,1521441410,100,-10.46,161.92,80.62,3.04
walvis bay,90,NA,1521435600,87,-22.95,14.51,59.0,2.24
maceio,0,BR,1521439200,88,-9.67,-35.74,73.4,2.24
xuanhua,32,CN,1521441411,52,40.61,115.04,45.07,3.71
harrisonville,90,US,1521440100,93,38.65,-94.35,44.6,12.75
kindu,80,CD,1521441412,85,-2.95,25.92,73.78,2.82
mpika,44,ZM,1521441413,80,-11.84,31.4,65.77,8.86
zalantun,0,CN,1521441413,54,48.0,122.72,33.64,3.71
sacramento,1,US,1521439080,81,38.58,-121.49,48.2,1.7
osorno,0,CL,1521441414,86,-40.57,-73.14,36.34,2.15
asyut,0,EG,1521435600,28,27.18,31.19,68.0,9.17
hukuntsi,44,BW,1521441415,75,-23.98,21.76,67.48,7.85
channel-port aux basques,68,CA,1521441416,100,47.57,-59.14,28.87,31.9
cairo,0,EG,1521437400,26,30.05,31.24,71.6,4.7
la ronge,5,CA,1521439200,65,55.1,-105.3,6.8,4.7
tromso,40,NO,1521438600,74,69.65,18.96,28.4,14.99
sivas,0,TR,1521438600,57,39.75,37.01,48.2,16.11
itarema,44,BR,1521441418,95,-2.92,-39.92,74.5,4.05
yoichi,75,JP,1521438300,100,43.19,140.77,32.0,23.04
sydney,0,AU,1521439200,54,-33.85,151.22,93.2,12.75
karabuk,90,TR,1521438600,93,41.2,32.63,48.2,8.05
sompeta,0,IN,1521441420,38,18.93,84.6,92.14,3.83
dindori,0,IN,1521441420,27,22.94,81.08,88.45,4.72
najran,0,SA,1521439200,16,17.54,44.22,78.8,2.24
kedougou,0,SN,1521435600,32,12.56,-12.19,82.4,2.82
tuy hoa,0,VN,1521441422,74,13.08,109.3,84.13,6.17
lahaina,1,US,1521439260,88,20.87,-156.68,69.8,26.4
bandar-e lengeh,0,IR,1521439200,36,26.56,54.88,77.0,6.93
steamboat springs,90,US,1521438960,92,40.48,-106.83,32.0,6.93
banda aceh,44,ID,1521441424,77,5.56,95.32,85.57,2.71
nantucket,1,US,1521438960,39,41.28,-70.1,28.4,10.29
comodoro rivadavia,0,AR,1521435600,41,-45.87,-67.48,60.8,35.57
san patricio,36,PY,1521441211,89,-26.98,-56.83,72.88,7.74
ornskoldsvik,0,SE,1521438600,74,63.29,18.72,33.8,9.17
ilam,0,IR,1521439200,36,33.64,46.42,55.4,6.93
xuddur,0,SO,1521441427,62,4.12,43.89,79.27,15.46
gushikawa,1,JP,1521439200,69,26.35,127.87,77.0,12.75
qinhuangdao,64,CN,1521441428,36,39.94,119.59,46.6,15.23
leirvik,75,NO,1521438600,100,59.78,5.5,35.6,1.12
vanderhoof,32,CA,1521441429,87,54.02,-124.02,28.51,3.38
bose,75,IT,1521438900,93,45.46,8.01,39.2,5.82
aswan,0,EG,1521435600,15,24.09,32.9,66.2,6.93
davila,20,PH,1521439200,59,18.47,120.58,89.6,6.93
gobabis,0,NA,1521439200,77,-22.45,18.97,69.8,2.24
bonthe,48,SL,1521441432,93,7.53,-12.5,77.29,3.71
pochutla,0,MX,1521441432,100,15.74,-96.47,79.0,11.65
sioux lookout,5,CA,1521439200,43,50.1,-91.92,17.6,3.36
hitchin,90,GB,1521438960,74,51.95,-0.28,32.0,13.87
wabash,1,US,1521438960,75,40.8,-85.82,37.4,5.82
tura,0,IN,1521441434,56,25.52,90.21,78.73,4.27
shelopugino,12,RU,1521441435,53,51.65,117.56,33.64,3.6
muskogee,90,US,1521440100,93,35.75,-95.37,55.4,12.75
bogorodskoye,12,RU,1521441436,40,52.37,140.44,13.93,10.76
guanica,48,PR,1521441436,100,17.97,-66.91,73.87,5.17
sabha,0,LY,1521441437,23,27.03,14.43,49.66,3.04
lautaro,0,CL,1521441438,90,-38.53,-72.44,42.01,4.61
leningradskiy,80,RU,1521441429,73,69.38,178.42,-6.05,10.54
alta floresta,20,BR,1521441438,96,-9.87,-56.08,73.96,2.04
winneba,0,GH,1521439200,83,5.35,-0.62,78.8,9.17
kota belud,75,MY,1521439200,66,6.35,116.43,91.4,4.7
waipawa,44,NZ,1521441350,69,-39.94,176.59,63.34,11.21
buluang,75,PH,1521439200,62,10.47,123.98,87.8,10.29
hirara,40,JP,1521439200,73,24.8,125.28,77.0,13.87
japura,24,ID,1521441442,71,-0.42,102.29,87.64,2.93
xining,12,CN,1521441442,45,36.62,101.77,44.44,9.75
winchester,90,GB,1521438600,68,51.06,-1.31,32.0,10.29
san rafael,0,AR,1521441445,43,-34.61,-68.33,43.72,2.26
lebyazhye,90,RU,1521439200,91,59.96,29.42,32.0,15.66
gberia fotombu,12,SL,1521441446,78,9.88,-11.17,71.89,8.75
wahiawa,40,US,1521439020,83,21.5,-158.02,75.2,6.93
pringsewu,24,ID,1521441447,94,-5.36,104.98,81.34,2.48
sumbe,36,AO,1521441447,100,-11.2,13.84,77.2,5.06
micheweni,48,TZ,1521441448,100,-4.97,39.83,80.44,11.99
chulman,0,RU,1521441449,38,56.84,124.9,9.88,5.73
ganzhou,92,CN,1521441449,94,25.86,114.93,59.83,5.95
ruteng,20,ID,1521441450,100,-8.61,120.46,77.47,3.6
havelock,1,US,1521439080,93,34.88,-76.9,46.4,8.19
bijie,92,CN,1521441451,99,27.3,105.3,48.67,6.96
la paz,5,MX,1521438000,72,24.15,-110.32,62.6,3.36
tevaitoa,80,PF,1521441452,100,-16.78,-151.5,81.52,15.57
booue,88,GA,1521441453,98,-0.09,11.94,73.69,2.59
rio grande,0,BR,1521441214,96,-32.03,-52.1,66.58,22.62
ormara,0,PK,1521441454,82,25.21,64.64,76.93,1.92
filimonovo,0,RU,1521441455,78,54.21,39.6,6.91,10.76
shenkursk,8,RU,1521441455,72,62.11,42.91,27.7,9.86
tarko-sale,92,RU,1521441456,91,64.92,77.78,18.88,15.46
oranjestad,40,AW,1521439200,88,12.52,-70.03,77.0,16.11
elverum,8,NO,1521441457,72,60.88,11.56,18.79,5.39
bay roberts,90,CA,1521439200,86,47.58,-53.28,28.4,25.28
kiama,0,AU,1521439200,7,-34.67,150.86,89.6,16.11
tsogni,44,GA,1521441458,100,-2.79,10.1,80.98,2.48
maniitsoq,8,GL,1521441459,50,65.42,-52.9,22.84,5.17
nioro,0,GM,1521441459,33,13.79,-15.05,70.81,10.54
yangshan,48,CN,1521441460,45,31.68,103.77,47.86,1.14
tual,24,ID,1521441461,100,-5.67,132.75,85.39,8.3
gamba,0,CN,1521441461,58,28.28,88.52,22.12,0.69
lokoja,12,NG,1521441462,83,7.8,6.74,77.38,9.98
bucerias,5,MX,1521438000,100,20.76,-105.33,68.0,12.1
atakpame,0,TG,1521441463,94,7.53,1.13,70.99,3.49
tandlianwala,0,PK,1521441463,61,31.03,73.13,79.27,7.96
plettenberg bay,88,ZA,1521441464,100,-34.05,23.37,64.69,10.65
ayan,32,TR,1521441464,67,40.67,33.6,48.22,6.96
port hardy,5,CA,1521439200,86,50.7,-127.42,37.4,4.38
coihaique,68,CL,1521439200,66,-45.58,-72.07,51.8,6.93
nhulunbuy,75,AU,1521439200,74,-12.18,136.78,84.2,9.17
zabid,0,YE,1521441466,50,14.2,44.5,64.33,2.93
yumen,24,CN,1521441394,72,40.29,97.04,46.06,17.47
pedasi,44,PA,1521441466,98,7.53,-80.03,77.65,13.0
bud,90,NO,1521438600,98,62.91,6.91,37.4,16.11
omboue,80,GA,1521441467,100,-1.57,9.26,82.42,5.73
san quintin,20,PH,1521439200,59,17.54,120.52,89.6,6.93
jaisinghnagar,24,IN,1521441468,30,23.63,78.57,89.8,8.75
huambo,92,AO,1521441468,97,-12.78,15.73,60.46,2.71
sur,0,OM,1521441343,86,22.57,59.53,77.83,6.4
aromashevo,76,RU,1521441469,100,56.86,68.64,28.51,26.53
mazamet,90,FR,1521439200,93,43.49,2.38,39.2,4.7
poya,20,NC,1521441470,98,-21.35,165.16,76.75,14.56
houma,76,CN,1521441471,57,35.63,111.36,50.56,3.71
canalete,100,CO,1521441471,98,8.79,-76.24,79.9,8.52
ballitoville,0,ZA,1521441472,77,-29.54,31.21,69.28,6.17
cortes,76,PH,1521441473,88,9.28,126.19,79.27,3.6
nouadhibou,0,MR,1521439200,77,20.93,-17.03,62.6,24.16
cairns,75,AU,1521439200,88,-16.92,145.77,78.8,13.87
hualmay,8,PE,1521441474,93,-11.1,-77.61,64.24,0.36
kidal,0,ML,1521441474,18,18.44,1.41,62.26,10.09
meulaboh,44,ID,1521441475,100,4.14,96.13,82.78,3.6
umm kaddadah,0,SD,1521441476,14,13.6,26.69,68.56,7.29
san policarpo,12,PH,1521441401,92,12.18,125.51,83.41,8.41
dabhol,0,IN,1521441476,76,17.6,73.17,86.29,1.92
paoua,20,CF,1521441477,74,7.24,16.43,74.32,14.0
lodja,92,CD,1521441477,98,-3.52,23.6,70.54,3.15
khorramshahr,0,IR,1521439200,35,30.43,48.18,71.6,6.93
rajnagar,0,BD,1521441478,82,24.52,91.87,83.59,4.38
morondava,12,MG,1521441479,81,-20.3,44.28,84.22,3.71
los llanos de aridane,75,ES,1521439200,72,28.66,-17.92,64.4,6.93
ploemeur,0,FR,1521439200,92,47.73,-3.43,28.4,2.24
otavi,76,NA,1521441480,97,-19.64,17.34,65.59,6.85
praia,0,BR,1521439200,88,-20.25,-43.81,68.0,3.36
pemba,56,MZ,1521441419,100,-12.97,40.52,81.52,5.73
noumea,76,NC,1521441000,94,-22.28,166.46,75.2,6.93
indian head,88,CA,1521441483,91,50.53,-103.67,25.54,7.29
ciudad bolivar,0,VE,1521441483,53,8.12,-63.55,76.84,12.77
kaiyuan,0,CN,1521441484,87,42.54,124.04,30.85,14.0
bhadravati,0,IN,1521441484,51,20.11,79.12,91.69,4.61
senador guiomard,0,BR,1521439200,88,-10.15,-67.74,73.4,3.36
taree,0,AU,1521439200,69,-31.91,152.46,80.6,12.75
pechenga,88,RU,1521441486,87,58.89,41.46,24.19,18.14
arlit,0,NE,1521441294,30,18.74,7.39,57.76,3.71
bridlington,56,GB,1521438600,64,54.08,-0.19,33.8,16.11
kalispell,90,US,1521438900,86,48.2,-114.32,37.4,12.75
